Date,Category,Description,Amount
2025-04-18,Food,Coffee shop,5.85
2025-04-18,Health,Gym membership,35.00
2025-04-19,Food,Groceries,50.00
2025-04-19,Transport,Bus fare,2.50
2025-04-20,Food,Lunch out,12.70
2025-04-21,Food,Coffee shop,6.40
2025-04-21,Entertainment,Museum entry,20.00
2025-04-22,Food,Groceries,43.80
2025-04-22,Transport,Gas,26.60
2025-04-23,Food,Dinner takeout,19.10
2025-04-24,Food,Coffee shop,5.90
2025-04-24,Utilities,Water bill portion,4.00
2025-04-25,Food,Groceries,48.70
2025-04-25,Transport,Rideshare,14.20
2025-04-26,Food,Lunch out,13.30
2025-04-27,Food,Coffee shop,6.10
2025-04-27,Miscellaneous,Home appliance,75.00
2025-04-28,Food,Groceries,40.20
2025-04-28,Transport,Bus fare,2.50
2025-04-29,Food,Dinner out,22.50
2025-04-30,Food,Coffee shop,6.25
2025-04-30,Entertainment,Streaming subscription,12.99
2025-05-01,Food,Groceries,47.10
2025-05-01,Transport,Gas,28.40
2025-05-02,Food,Lunch out,14.50
2025-05-03,Food,Coffee shop,5.95
2025-05-03,Utilities,Electricity bill portion,8.00
2025-05-04,Food,Groceries,41.60
2025-05-04,Transport,Rideshare,12.50
2025-05-05,Food,Dinner takeout,18.80
2025-05-06,Food,Coffee shop,6.30
2025-05-06,Health,Doctor visit,70.00
2025-05-07,Food,Groceries,49.90
2025-05-07,Transport,Bus fare,2.50
2025-05-08,Food,Lunch out,13.90
2025-05-09,Food,Coffee shop,6.00
2025-05-09,Entertainment,Concert ticket,55.00
2025-05-10,Food,Groceries,42.70
2025-05-10,Transport,Gas,27.90
2025-05-11,Food,Dinner out,23.20
2025-05-12,Food,Coffee shop,5.85
2025-05-12,Utilities,Internet bill portion,5.00
2025-05-13,Food,Groceries,46.40
2025-05-13,Transport,Rideshare,13.10
2025-05-14,Food,Lunch out,12.60
2025-05-15,Food,Coffee shop,6.20
2025-05-15,Miscellaneous,Clothing,60.00
2025-05-16,Food,Groceries,40.80
2025-05-16,Transport,Bus fare,2.50
2025-05-17,Food,Dinner takeout,19.40
2025-05-18,Food,Coffee shop,6.10
2025-05-18,Health,Gym membership,35.00
2025-05-19,Food,Groceries,48.60
2025-05-19,Transport,Gas,26.70
2025-05-20,Food,Lunch out,14.10
2025-05-21,Food,Coffee shop,5.90
2025-05-21,Entertainment,Movie ticket,15.50
2025-05-22,Food,Groceries,41.50
2025-05-22,Transport,Rideshare,14.80
2025-05-23,Food,Dinner out,22.80
2025-05-24,Food,Coffee shop,6.40
2025-05-24,Utilities,Water bill portion,4.00
2025-05-25,Food,Groceries,49.30
2025-05-25,Transport,Bus fare,2.50
2025-05-26,Food,Lunch out,13.40
2025-05-27,Food,Coffee shop,6.00
2025-05-27,Miscellaneous,Tech gadget,80.00
2025-05-28,Food,Groceries,42.20
2025-05-28,Transport,Gas,28.00
2025-05-29,Food,Dinner takeout,18.50
2025-05-30,Food,Coffee shop,5.95
2025-05-30,Entertainment,Streaming subscription,12.99
2025-05-31,Food,Groceries,47.80
2025-05-31,Transport,Rideshare,13.60
2025-06-01,Food,Lunch out,14.60
2025-06-02,Food,Coffee shop,6.20
2025-06-02,Utilities,Electricity bill portion,8.00
2025-06-03,Food,Groceries,40.70
2025-06-03,Transport,Bus fare,2.50
2025-06-04,Food,Dinner out,23.90
2025-06-05,Food,Coffee shop,6.10
2025-06-05,Health,Pharmacy,19.70
2025-06-06,Food,Groceries,48.50
2025-06-06,Transport,Gas,27.20
2025-06-07,Food,Lunch out,13.80
2025-06-08,Food,Coffee shop,5.90
2025-06-08,Entertainment,Game purchase,49.99
2025-06-09,Food,Groceries,41.40
2025-06-09,Transport,Rideshare,12.70
2025-06-10,Food,Dinner takeout,19.00
2025-06-11,Food,Coffee shop,6.30
2025-06-11,Miscellaneous,Home decor,50.00
2025-06-12,Food,Groceries,46.20
2025-06-12,Transport,Bus fare,2.50
2025-06-13,Food,Lunch out,14.30
2025-06-14,Food,Coffee shop,6.00
2025-06-14,Utilities,Internet bill portion,5.00
2025-06-15,Food,Groceries,49.70
2025-06-15,Transport,Gas,28.60
2025-06-16,Food,Dinner out,22.40
2025-06-17,Food,Coffee shop,5.95
2025-06-17,Health,Gym membership,35.00
2025-06-18,Food,Groceries,42.90
2025-06-18,Transport,Rideshare,13.90
2025-06-19,Food,Lunch out,12.80
2025-06-20,Food,Coffee shop,6.40
2025-06-20,Entertainment,Museum entry,22.00
2025-06-21,Food,Groceries,47.40
2025-06-21,Transport,Bus fare,2.50
2025-06-22,Food,Dinner takeout,18.70
2025-06-23,Food,Coffee shop,6.10
2025-06-23,Utilities,Water bill portion,4.00
2025-06-24,Food,Groceries,41.00
2025-06-24,Transport,Gas,27.50
2025-06-25,Food,Lunch out,14.90
2025-06-26,Food,Coffee shop,5.85
2025-06-26,Miscellaneous,Clothing,70.00
2025-06-27,Food,Groceries,48.80
2025-06-27,Transport,Rideshare,14.40
2025-06-28,Food,Dinner out,23.60
2025-06-29,Food,Coffee shop,6.20
2025-06-29,Entertainment,Streaming subscription,12.99
2025-06-30,Food,Groceries,43.50
2025-06-30,Transport,Bus fare,2.50
2025-07-01,Food,Lunch out,14.70
